Song Title,Movie/Album,Composer,Language,Lyrics
Minsara Poovae,Padayappa,A.R. Rahman,Tamil (English Script),"Male: {Minsaara poovae pen poovae
Mei theenda vendum
Ennodu vaaraai
En aasai osaikelaai} (2)

Male: Maalaiyil pon maarbinil
Naan thuyil kolla vendum
Kaalaiyil un kangalil
Naan veyil kaayavendum
Sakiyae. sakiyae. sakiyae
En meesaikum aasaikum
Poosaikum nee veendum

Female: Minsaaraa kannaa
En mannaa
En aanai kettu
En pinnae vaaraai
En aasai osai kelaai
Koondhalil vizhum pookkalai
Nee madhiyendha vendum
Naan vidum perumoochilae
Nee kulir kaaya vendum
Madanaa.madanaa. madanaa
En poovukkum thevaikkum
Sevaikkum nee vendum
Minsaaraa kannaa.aaaaaaahhh.

Female: Oru aanukku yezhudhiya
Ilakkanam unniddhathil kanden
En paadhathil pallikolla
Unakkoru anumadhi thanden

Female: Oru aanukku yezhudhiya
Ilakkanam unniddhathil kanden
En paadhathil pallikolla
Unakkoru anumadhi thanden

Female: En aadaithaangikolla
En koondhal yendhikolla
Unakkoru vaaippallavaaaa...
Naan unda michapaalai
Nee undu vaazhdhu vandhaal
Mothchangal unakkallavaaaaahhh...
Vaanam vandhu valaikiradhae
Vanangida vaa

Male: Minsaara poovae pen poovae
Mei theenda vendum
Ennodu vaaraai
En aasai osaikelaai

Female: Kanna aaaah aaah... kanna aaaah aaah...

Male: Vennilavai thatithati
Seidhu vaitha sirpam ondrukanden
Adan vizhigalil vazhivadhu
Amudhalla visham endru kanden
Adan nizhalaiyum thoduvadhu
Pazhiyendru vilagivitten. aaaahhhhh.aaaaaaahhh

Male: Vaan vizhiyaal valai virithaai
Vanjanai velaadhu
Valaigalilae meen sikkalaam
Thanneer endrum sikkaadhu
Vaa endraal naal varudhillai
Po endraal naan maraivadhillai
Idhu nee naan endra potti alla
Nee aanaiyitu soodikolla
Aangal yaarum pookkal alla

Female: Minsaaraa kannaa
En mannaa
En aanai kettu
En pinnae vaaraai
En aasai osai kelaai

Male: Thoomtha thakita thakida
Tha thathinna
Thathikidathom.thathikidathom.
Thathikidathom
Female: aaaaahaaaahhaaaaahhh...

Male: Tha thakida thom
Tha thakida thom
Theem thakida thom
Theem thakida thom
Female: aaaaahaaaahhaaaaahhh...

Male: Thomthathakita thathakita
Thathakita. thathakita
Thakita thom .thakita thom
Thakita
Female: aaaaahaaaahhaaaaahhh...

Male: {Thagatheme thathathom
Thagatheme thathathom
Thagatheme thathathom
Thagatheme thagatheme
Thagatheme}(2)
Female: aaaaahaaaahhaaaaahhh...

Male: Thoomkita thakathina thommm...
Female: Minsara kannaa...
Minsaara kannaaaa..."
Minsara Poovea,Padayappa,A.R. Rahman,Tamil (English Script),"Male: {Minsaara poovae pen poovae
Mei theenda vendum
Ennodu vaaraai
En aasai osaikelaai} (2)

Male: Maalaiyil pon maarbinil
Naan thuyil kolla vendum
Kaalaiyil un kangalil
Naan veyil kaayavendum
Sakiyae. sakiyae. sakiyae
En meesaikum aasaikum
Poosaikum nee veendum

Female: Minsaaraa kannaa
En mannaa
En aanai kettu
En pinnae vaaraai
En aasai osai kelaai
Koondhalil vizhum pookkalai
Nee madhiyendha vendum
Naan vidum perumoochilae
Nee kulir kaaya vendum
Madanaa.madanaa. madanaa
En poovukkum thevaikkum
Sevaikkum nee vendum
Minsaaraa kannaa.aaaaaaahhh.

Female: Oru aanukku yezhudhiya
Ilakkanam unniddhathil kanden
En paadhathil pallikolla
Unakkoru anumadhi thanden

Female: Oru aanukku yezhudhiya
Ilakkanam unniddhathil kanden
En paadhathil pallikolla
Unakkoru anumadhi thanden

Female: En aadaithaangikolla
En koondhal yendhikolla
Unakkoru vaaippallavaaaa...
Naan unda michapaalai
Nee undu vaazhdhu vandhaal
Mothchangal unakkallavaaaaahhh...
Vaanam vandhu valaikiradhae
Vanangida vaa

Male: Minsaara poovae pen poovae
Mei theenda vendum
Ennodu vaaraai
En aasai osaikelaai

Female: Kanna aaaah aaah... kanna aaaah aaah...

Male: Vennilavai thatithati
Seidhu vaitha sirpam ondrukanden
Adan vizhigalil vazhivadhu
Amudhalla visham endru kanden
Adan nizhalaiyum thoduvadhu
Pazhiyendru vilagivitten. aaaahhhhh.aaaaaaahhh

Male: Vaan vizhiyaal valai virithaai
Vanjanai velaadhu
Valaigalilae meen sikkalaam
Thanneer endrum sikkaadhu
Vaa endraal naal varudhillai
Po endraal naan maraivadhillai
Idhu nee naan endra potti alla
Nee aanaiyitu soodikolla
Aangal yaarum pookkal alla

Female: Minsaaraa kannaa
En mannaa
En aanai kettu
En pinnae vaaraai
En aasai osai kelaai

Male: Thoomtha thakita thakida
Tha thathinna
Thathikidathom.thathikidathom.
Thathikidathom
Female: aaaaahaaaahhaaaaahhh...

Male: Tha thakida thom
Tha thakida thom
Theem thakida thom
Theem thakida thom
Female: aaaaahaaaahhaaaaahhh...

Male: Thomthathakita thathakita
Thathakita. thathakita
Thakita thom .thakita thom
Thakita
Female: aaaaahaaaahhaaaaahhh...

Male: {Thagatheme thathathom
Thagatheme thathathom
Thagatheme thathathom
Thagatheme thagatheme
Thagatheme}(2)
Female: aaaaahaaaahhaaaaahhh...

Male: Thoomkita thakathina thommm...
Female: Minsara kannaa...
Minsaara kannaaaa..."
Minsara Kanna,Padayappa,A.R. Rahman,Tamil (English Script),"Singer: Srinivas, Nithyashree

Minsaara Poove Pen Poove
Mei Theenda Vendum
Ennodu Vaaraai
En Aasai Osaikelaai
Maalaiyil Pon Maarbinil
Naan Thuyil Kolla Vendum
Kaalaiyil Un Kankalili
Naan Veyil Kaayavendum
Sakiye, Sakiye, Sakiye
En Meesaikum Aasaikum
Poosaikum Nee Veendum

Minsaaraa Kannaa
En Mannaa
En Aanai Kettu
En Pinne Vaaraai
En Aasai Osai Kelaai
Koondhalili Vizhum Poovakalai
Nee Madhiyeendha Vendum
Naan Vidhum Perumoochile
Nee Kulit Kaaya Vendum
Madanaa, Madanaa, Madanaa

En Poovukkum Thevaikkum
Seevaikkum Nee Vendum

Oru Aanukku Yezhudhiya
Enakkanam Unniddhathil Kanden
En Paadhaththil Pallikolla
Unakkoru Anumadhi Thanden
En Aadaithaangikolla
En Koondhal Yendhikolla
Onakkoru Vaaippallava?
Naan Unda Michchapaalai
Nee Undu Vaazhdhu Vandhaai
Mothchangal Unakkalaavaa?
Vaanam Vandhu Valaikiradhey
Vanagida Vaa

Vennilavai Thatithati
Seidhu Vaiththa Sirpam Ondrukanden
Adan Vizhiyil Vazhivadhu
Amudhamalla Visham Endru Kanden
Adan Nizhalaiyum Thoduvadhu
Pazhiyendru Vilakivitten
Vaan Vizhiyaal Valai Viriththaai
Vanjanai Velaadhu
Valaikaliye Meen Sikkalaam
Thanneer Endrum Sikaadhu
Vaa Endraal Naal Varudhillai
Po Endraal Naan Maraivadhillai
Idhu Nee Naan Endra Potialla
Nee Aanaiyitta Soodikolla
Aangal Yaarum Pookkalalla"
En Peru Padayappa,Padayappa,A.R. Rahman,Tamil (English Script),"Singa nadai potu
Sigaraththil yeru
Sigaraththai adainthaal
Vaanaththil yeru

Male: En peru padaiyappa
Ilavatta nadaiyappa
Ennoda ullathellaam
Ilansinga padaiyappa

Male: Nenjil aaru padaiyappa
Pinaal nooru padaiyappa
Yutham onnu varugayil
Paththu viral padaiyappa
Padaiyappa padaiyappa padaiyappa

Male: Paasamulla manithanappa
Naan meesavecha kuzhandaiyappa
Endrum nalla thambi naan appa
Nandri ulla aal appa
Thaalaati valarththathu
Tamizhnaatu mannappa...

Male: Singa nadai pottu
Sigaraththil yeru...
Padaiyappa padaiyappa
Padaiyappa padaiyappa

Male: En peru padaiyappa
Ilavatta nadaiyappa
Ennoda ullathellaam
Ilansinga padaiyappa

Male: Nenjil aaru padaiyappa
Pinaal nooru padaiyappa
Yutham onnu varugayil
Paththu viral padaiyappa

Male: Paasamulla manithanappa
Naan meesavecha kuzhandaiyappa

Male: Paththu maadi veedu konda
Soththu sugam vendaam
Pattangalai vaangi tharum
Pathaviyum vendaam

Male: Maalaigal idavendam
Thanga magudamum tharavendam
Tamizhthaai naadu thantha
Anbu pothumae

Male: En oru thuli viyarvaikku
Oru pavun thanga kaasu
Koduththathu tamizh allava...
En udal porul aaviyai
Thamizhukkum thamizharkkum
Koduppadhu murai allava...

Male: Singa nadai pottu
Sigaraththil yeru...
Padaiyappa padaiyappa

Male: En peru padaiyappa
Ilavatta nadaiyappa
Ennoda ullathellaam
Ilansinga padaiyappa

Male: Nenjil aaru padaiyappa
Pinaal nooru padaiyappa
Yutham onnu varugayil
Paththu viral padaiyappa
Padaiyappa padaiyappa padaiyappa

Male: Paasamulla manithanappa
Naan meesavecha kuzhandaiyappa

Male: Unn kaiyai nanbi
Uyarnthida paaru
Unakkena ezhuthu
Oru varalaaru

Male: Unakkullae sakthi irukku
Adhai usuppida vazhi paaru
Subha velai naalai
Maalai soodidu

Male: Ada evanukku enna gunam
Evanukku enna balam
Kandathillai oruvarumae
Oru vithaikul adaipatta
Aalamaram kan vizhikkum
Adhuvarai poru manamae...

Male: Singa nadai pottu
Sigaraththil yeru
Sigaraththai adainthaal
Vaanaththil yeru...

Male: En peru padaiyappa
Ilavatta nadaiyappa
Ennoda ullathellaam
Ilansinga padaiyappa
Padaiyappa padaiyappa padaiyappa

Male: Nenjil aaru padaiyappa
Pinaal nooru padaiyappa
Yutham onnu varugayil
Paththu viral padaiyappa
Padaiyappa padaiyappa padaiyappa

Paasamulla manithanappa
Male: Naan meesavecha kuzhandaiyappa
Endrum nalla thambi naan appa
Nandriulla aal appa
Thaalaati valarththathu
Tamizhnaatu mannappa..."
Nenaichchapadi,Kadhalar Dhinam,A.R. Rahman,Tamil (English Script),"Nenaichchapadi nenaichchapadi
Maappilla amainjadhadi

Nenaichchapadi nenaichchapadi
Maappilla amainjadhadi
Unakkena pirandhaano
Uyirudan kalandhaano
Unakkena pirandhaano
Uyirudan kalandhaano

Nenaichchapadi nenaichchapadi
Manaponnu amainjadhadi
Unakkena pirandhaalo
Uyirudan kalandhaalo
Unakkena pirandhaalo
Uyirudan kalandhaalo

En tholgaley thottam enru
Ennaalume thothikkollum
Kaatrallavaa nee en kanney

Kalyaana naalil maalai kolla
Kannaalanin poonjolai sella
Andha vanam nandhavanam aagum

Marudhaani kolam pottu
Manik kaiyil valaiyal poottu
Indha rojaavukku rojaappoo nee soottu

Marudhaani kolam pottu
Manik kaiyil valaiyal poottu
Indha rojaavukku rojaappoo nee soottu

Un kanavan naalaidhaan vara vendum
Uyir kaadhal nenjaiye thara vendum

Manappandhal thoranam naan poda
Manavaalanodu un kai kooda
Un thandhai ullam dhaan oonjal aada

Kaadhal yenum sollai
Naanum solla villai
Solla vandha neram kaadhal
Endhan kaiyil illai

Kaadhal yenum sollai
Naanum solla villai
Solla vandha neram kaadhal
Endhan kaiyil illai

Vaazhvu thandha vallal
Vaangi kondu poga
Vaazhthu solla naanum
Vandhen kangal eeramaaga

Enrum enadhu kannile un pimbam
Unai enni vaazhvadhey en inbam
Enrum enadhu kannile un pimbam
Unai enni vaazhvadhey en inbam

Ingu nee sirikka naan paarthaaley
Endhan kaadhal vaazhum
Nee vaazhga nalamaaga
Nee vaazhga nalamaaga

Nenaichchapadi nenaichchapadi
Maappilla amainjadhadi
Unakkena pirandhaano
Uyirudan kalandhaano
Unakkena pirandhaano
Uyirudan kalandhaano

Nenaichchapadi nenaichchapadi
Manaponnu amainjadhadi
Unakkena pirandhaalo
Uyirudan kalandhaalo
Unakkena pirandhaalo
Uyirudan kalandhaalo

Alli vizhi oram anjanathai theetti
Andhi vanna pinnal meedhu
Thaazhai malar sootti

Alli vizhi oram anjanathai theetti
Andhi vanna pinnal meedhu
Thaazhai malar sootti

Aadhi mudhal andham aabaranam pootti
Annam ival medai vandhaal minnal mugam kaatti

Ketti melam kottida manappennai
Thottuth thaali kattinaan maappillai
Ketti melam kottida manappennai
Thottuth thaali kattinaan maappillai

Indha yezai nenjamum nee vaazha
Enrum pookkal thoovum
Nee vaazhga nalamaaga

Nenaichchapadi nenaichchapadi
Maappilla amainjadhadi
Unakkena pirandhaano
Uyirudan kalandhaano
Unakkena pirandhaano
Uyirudan kalandhaano

Nenaichchapadi nenaichchapadi
Manaponnu amainjadhadi
Unakkena pirandhaalo
Uyirudan kalandhaalo
Unakkena pirandhaalo
Uyirudan kalandhaalo

Marudhaanik kolam pottu
Manik kaiyil valaiyal poottu
Indha rojaavukku rojaappoo nee soottu

Marudhaanik kolam pottu
Manik kaiyil valaiyal poottu
Indha rojaavukku rojaappoo nee soottu"
"Nenichapadi (From ""Kadhalar Dhinam"")",Kadhalar Dhinam,A.R. Rahman,Tamil (English Script),"En tolasle dhottam endu
Ennalume dotikllum
Kallerllava nee en kanne
Kalyan nalil maalai koll
Khannalanin poonjolai cell
Andha vaanam nandwanum akum

Manik kail valiyal bhuttu
Ind rojauku rojapu nee suttu

Manik kail valiyal bhuttu
Ind rojauku rojapu nee suttu
Un ganavan namee thaan varawants
Uirk kaadhal nenjaiye druvants
Manabbandal dhoranam naan poda
Manavalnotu un kaikut
Un tandai ullandan oonjal aat
Kadalenum sollai naanum sollavilly
Solla vandha neram kaadhal endhan kaililly
Kadalenum sollai naanum sollavilly
Solla vandha neram kaadhal endhan kaililly
Valveu thandha vallal wangikindu pok
Vahattuch solla naanum vandhen kangal iramak
Endrum enetu kannile un bimbam
Unnai anni vajhwate enninpam
Endrum enetu kannile un bimbam
Unnai anni vajhwate enninpam

Ni vatak ...nalmak ...
Ni vatak ...nalmak ...

Adi mudhal andam aabharanam bhuti
Annam ival madai vandhal minnal mugham kaatti
Getty maelam kottit manappennai
Thoddut thali kddinan mappilla
Getty maelam kottit manappennai
Thoddut thali kddinan mappilla

Ni vatak ...nalmak ...

Manik kail valiyal bhuttu
Ind rojauku rojapu nee suttu

Manik kail valiyal bhuttu
Ind rojauku rojapu nee suttu"
Oh Maria,Kadhalar Dhinam,A.R. Rahman,Tamil (English Script),"Oa Mariaa Oa Maria oa maria oa maria
Fruit Cherry a nee variyaa Email il love letter tharia (lalalallala)2

kadaluku Fishing netu Kaadhaluku Internetu
Dhaesam vitu Dhaesam veesum kaadhal valai

lalalalalalalalala

mounam enroru saaviyai pottu manadhai pootadhae
kaadhalai aayul kaidhyenraaki kaavalil vaikaathe
idayam thirandu parandodi vaa iruku enakaasai viraindodi vaa
Computer il kaadhal seyum kaalam ini
kaadhal vidhai kaatrodu thoovi kaadhal mayam aagatum bhoomi

(Oa Mariaa.)

Kattazhagukkoru pattiyalitu kaatudu internet tu
manasa vittu mouse a thathu maatidum pathinetu
irakai edarku parandodalam irukum idathai marandadhaadalaam (2)

(Oa Maria.)

Mariaa maria maria maria maria maa moaa maria (4)"
Dhaandiya Aatamum,Kadhalar Dhinam,A.R. Rahman,Tamil (English Script),"Daandiyaa Aattamumaada Dhasaraak Koottamum Kooda
Gujaraath Kumarigalaada Kaathalan Kaathaliyaith Thaeda
Aval Thenpaduvaaloa Enthan Kan Maraivaaga
Inru Kaathal Solvaaloa Nenjoadu

Aval Engae Enak Kaanaamal Vaada Ennaithaan Aenga Vaippaaloa (2)

Daandiyaa...

Unnaikkandu Ennam Yaavum Mella Oomaiyaagi Ninradhenna Solla
Nooru Vaarthai Alla Alla Oru Vaarthai Puriyaathaa
Entha Vaarthai Sollavillaiyoa Nee Antha Vaarthai Enthan Kangalaal Naan
Nooru Jaadaiyil Sonnene Theriyaathaa Puriyaathaa
Oa Maiyaippoala Naanum Kannil SaeraVendum
Poovaippoala Naanum Unthan Koonthal SaeraVendum
Oa Kannil Vaitha Maiyum Karainthu Poagakkoodum
Koonthal Vaitha Vannap Poovum Vaadip Poagakkoodum
Sari Kaathal Nenjai Naan Tharalaamaa Un Kanavanaaga Naan Varalaamaa

Intha Vaarthai Mattumae Nijamaanal Oru Jenmam Pøathum
Uyirae Vaa... Anbae Vaa...(2)

Daandiyaa...

Kaathal Paarvaigal Èllaamae Azhaghu
Kaathal Vaarthaigal Èllamae Kavithai

Kaathal Šeyvathae Ènnaalum Dheyveegam Dheyveegam
Kaathal Ènbathaik Kandu Pidithavan Kaalam Muzhuvathum Nanrikkuriyavan
Kaathal Illaiyael Ènnaagum Bhøøløagam Bhøøløagam
Oa Ullam Ènra Onrai Unnidathil Thanthaen
Thantha Ullam Bathiramaa Therinthukølla Vanthaen
Oa Ènnaip Patri Neethaan Ènniyathu Thavaru
Ènnaivida Unthan Ullam Ènnudaiya Uyiru
Iru Uyirgal Ènbathae Kidaiyaathu Ithil Unathu Ènathu Ènap Pirivaethu
Intha Vaarthai Mattumae Nijamaanal Oru Jenmam Pøathum
Uyirae Vaa... Anbae Vaa...(2)

Vaaliba Nenjangal Uravu Køndaada Vanthathu Ingøru Raathiri
Daandiyaa Ènrøru Raathiri (2)
Thunai Šeyya Naangal Undu Thøazharae
Thuninthu Nee Kaathal Šeyvaay Thøazhiyae
Ungalaalae Ènrum Mannil Kaathal Vaazhumae (2)

Oa. Ungalaalae Ènrum Mannil Kaathal Vaazhumae
Ungalaalae Ènrum Mannil Kaathal Vaazhumae (2)"
Enna Vilaiyazhagae,Kadhalar Dhinam,A.R. Rahman,Tamil (English Script),"Male: Enna vilai azhagae...
Enna vilai azhagae
Sonna vilaikku vaanga varuven
Vilai uyir endraalum tharuven
Indha azhagai kandu viyandhu pogiren.

Oru mozhiyillaamal mounam maagiren
Oru mozhiyillaamal mounam maagiren

Male: Enna vilai azhagae
Sonna vilaikku vaanga varuven
Vilai uyir endraalum tharuven
Indha azhagai kandu viyandhu pogiren
Ohh... oru mozhiyillaamal
Oru mozhiyillaamal mounam maagiren
Oru mozhiyillaamal mounam maagiren

Male: Padaithaan iraivan unaiyae malaithaan udanae avanae
Azhagai padaikkum thiramai muzhukka
Unnudan saarndhadhu. en vizhi serndhadhu
Vidiya vidiya madiyil kidakkum
Pon veenai un meni meettattum en meni

Male: Viraivinil vandhu kalandhidu viralpada mella kanindhidu
Udal mattum ingu kidakkudhu udan vandhu neeyum uyir kodu

Male: { Pallavan sirpigal andru
Panniya sirpathil ondru
Pennena vandhadhu indru silaiyae} (2)
Undhan azhagukkillai eedu

Male: Enna vilai azhagae
Sonna vilaikku vaanga varuven
Vilai uyir endraalum tharuven
Indha azhagai kandu viyandhu pogiren
Ohhh... oru mozhiyillaamal
Oru mozhiyillaamal mounam maagiren

Male: Uyirae unaiyae ninaithu
Vizhineer mazhaiyil nanaindhu
Imaiyil irukkum iravu urakkam
Kan vittu poyaachu kaaranam neeyaachu
Nilavu erikka ninaivu kodhikka
Aaraadha nenjaachu aagaaram nanjaachu
Dhinam dhinam unai ninaikkiren
Thurumbena udal ilaikkiren

Male: Uyir kondu varum padhumaiyae unaivida illai pudhumaiyae

Un pugazh vaiyamum solla
Sitrana vaasalil ulla
Chithiram vetkudhu mella uyire

Male: Un pugazh vaiyamum solla
Sitrana vaasalil ulla
Chithiram vetkudhu mella... nalla naal
Unai naanum serum naal dhaan

Male: Enna vilai azhagae ...enna vilai azhagae
Sonna vilaikku vaanga varuven
Vilai uyir endraalum tharuven
Indha azhagai kandu viyandhu pogiren
Ohhh. oru mozhiyillaamal
Oru mozhiyillaamal mounam maagiren
Oru mozhiyillaamal mounam maagiren
Oru mozhiyillaamal mounam maagiren..."
Kadhalenum Thervezhudhi,Kadhalar Dhinam,A.R. Rahman,Tamil (English Script),"Male: Kaadhal ennum thervezhuthi
Kaaththirundha maanavan naan
Kaadhal ennum thervezhuthi
Kaaththirundha maanavan naan

Male: I love u roja
Female: I love u raja

Male: Kaadhal ennum thervezhuthi
Kaaththirundha maanavan naan
Kaadhal ennum thervezhuthi
Kaaththirundha maanavan naan

Male: Un ennam ennum yettil
En ennai paarththa podhu
Naanae ennai namba villai
Endhan kannai nambavillai

Female: Unmai unmai unmai unmai
Anbae unmel unmai
Un vasam endhan penmai
{Doli doli doli doli
Doli doli doli doli } (2)

Male: Aaaaaaa...
{Indha valaikkaiyil
Valaiyalgal naanallavaa
Indru valaikkaiyai
Valaikkindra naalallavaa} (2)

Female: Sugam valaikkaiyai
Valaikkayil undaanadhu
Menmelum kaivalai valai
Endru yengaadho

Male: Idhu kannangalaa
Illai thennangallaa
Female: Indha kannamellaam
Undhan chinnangalaa

Male: Ingu naan irundhen
Verum mei ezhuththaaga
Nee vandhu serndhaai
Uyir ezhuththaaga

Male: Kaadhal ennum thervezhuthi
Kaaththirundha maanavan naan
Kaadhal ennum thervezhuthi
Kaaththirundha maanavan naan

Female: {Doli doli doli doli
Doli doli doli doli } (2)

Aaaa... a.aaa... aaa...
Aaaa... aaaaa... aaa... aaa...
Aaa... aaa... aaa... aaa... aaa...

Female: Aaaaaaa... aaaa...
Undhan madiyinil kidappathu
Sugam sugam
Indha sugaththinil sivandhathu
Mugam mugam

Male: Manam idharkena kidandhadhu
Thavam thavam
Aanandhamae ini ivan
Uyir ponaalum

Female: Endrum oivadhillai
Indha kaadhal mazhai
Kadal neelam ulla
Andha kaalam varai

Female: Idhu piravigal dhorum
Vidaadha bandham
Pirivenum theeyil
Vizhaadha sondham
Mmm... oaoaoa... aaaaaa...

Male: Kaadhal ennum thervezhuthi
Kaaththirundha maanavan naan
Kaadhal ennum thervezhuthi
Kaaththirundha maanavan naan

Female: {Doli doli doli doli
Doli doli doli doli } (2)

Male: Kaadhal ennum thervezhuthi
Kaaththirundha maanavan naan
Female: Aaaa... aaa... aaaa... aaaaa..."
daandiyaa aattamumaada,Kadhalar Dhinam,A.R. Rahman,Tamil (English Script),"Male: Dhaandiyaa aattamumaada dhasaraa koottamum kooda
Gujaraath kumarigalaada kaadhalan kaadhaliyai theda
Aval thenpaduvaalo endhan kan maraivaaga
Indru kaadhal solvaalo nenjodu...
Aval engae ena kaanaamal vaada ennaithaan yenga vaippaalo

Male: Dhaandiyaa aattamumaada dhasaraa koottamum kooda
Gujaraath kumarigalaada kaadhalan kaadhaliyai theda

Male: Unnai kandu ennam yaavum mella oomaiyaagi nindradhenna solla
Nooru vaarthai alla alla oru vaarthai puriyadhaa

Female: Endha vaarthai
Sollavillaiyo nee
Andha vaarthai endhan
Kangalaal naan
Nooru jaadaiyil sonnenae
Theriyaadhaa puriyaadhaa

Male: Ooo.ohohoh...{ maiyai pola naanum kannil seravendum} (2)
Poovai pola naanum undhan koondhal seravendum

Female: Ohh. kannil vaitha maiyum karaindhu pogakoodum
Koondhal vaitha vanna poovum vaadi pogakoodum

Male: Seri kaadhal nenjai
Naan tharalaamaa
Un kanavanaaga
Naan Varalaamaa

Female: Indha vaarthai mattumae nijamaanal oru jenmam podhum

Male: Uyirae vaa.Female: Anbae vaa

Male: Uyirae vaa... Female: Anbae vaa

Male: Dhaandiyaa aattamumaada dhasaraa koottamum kooda
Gujaraath kumarigalaada kaadhalan kaadhaliyai theda...
Aval thenpaduvaalo endhan kan maraivaaga
Indru kaadhal solvaalo nenjodu
Aval engae ena kaanaamal vaada ennaithaan yenga vaippaalo

Female: Kaadhal paarvaigal
Ellaamae azhagu
Kaadhal vaarthaigal
Ellaamae kavidhai
Kaadhal seivadhae ennaalum
Deiveegam deiveegam

Male: Kaadhal enbadhai kandu
Pidithavan kaalam
Muzhuvadhum nandrikkuriyavan
Kaadhal illaiyel ennaagum
Bhoologam bhoologam

Female: Ohh.hohoho.
Ullam endra ondrai
Unnidathil thandhen
Thandha ullam bathiramaa
Therindhu kolla vandhen

Male: Ohhoo... ennai pattri needhaan
Enniyadhu thavaru
Ennaivida undhan ullam
Ennudaiya uyiru

Female: Iru uyirgal enbadhae
Kidaiyaadhu idhil unadhu
Enadhu ena pirivedhu

Male: Indha vaarthai mattumae
Nijamaanaal oru
Jenmam podhum

Female: Uyirae vaa. Male: Anbae vaa

Female: Uyirae vaa... Male: Anbae vaa

Male: { Vaaliba nenjangal uravu kondaada vandhadhu ingoru raathiri
Dhaandiyaa endroru raathiri } (2)

Male & Female: Thunai seiya naangal undu thozharae
Thunindhu nee kaadhal seivaai thozhiyae
{ Ungalaalae endrum mannil kaadhal vaazhumae } (2)

Female: Oooooo... ooooooo.oooooo... oooooo.oooooo

Male & Female: { Ungalaalae endrum mannil kaadhal vaazhumae} (2)

Female: Ohoo... ho.ho.ho... ho.ho... oho.ho.ho.ho.oho.ho.ho.oho.ooh

Male & Female: { Ungalaalae endrum mannil kaadhal vaazhumae} (2)

Female: Ohoo... ho.ho.ho... ho.ho... oho.ho.ho.ho.oho.ho.ho.oho.ooh"
Varaaha Nathi,Sangamam,A.R. Rahman,Tamil (English Script),"Singer: Shankar Mahadevan

Kannil Varum Kaatchi Ellaam Kanmaniyae Uruthum
Kaanaatha Un Uruvam Kannukkulla Inikkum (2)

Varaaga Nathikkarai Oaram, Orae Oru Paarvai Paarthaen
Puraavae Nillunu Sonnaen Kanaavaay Oadi Maranjae (2)

Kannil Varum Kaatchi Ellaam Kanmaniyae Uruthum
Kaanaatha Un Uruvam Kannukkulla Inikkum (2)
Kannu Thakku Thakku Thakkunguthu. Oaoaoa
Ulla Thikku Thikku Thikkunguthu. Oaoaoa
Nenju Jallu Jallu Jallunguthu. Oaoaoa
Sollu Sollu Sollu Sollunguthu.
(Varaaga Nathikkarai.)

Panjavarnakkili Nee Parantha Pinnaalum Anju Varnam Nenjil Irukku (2)
Paranthuvanthu. Mmmmm. Virunthu Kodu. Mmmmm
Manasukkulla Chadugudu Chadugudu
Mayakkuthukku Marunthonnu Kudu Kudu
Oaoaoa Kaavaerikkaraiyil Maramaayirunthaal Vaerukku Yøagamadi
Èn Kai Rendum Thaavaniyaanaal Kaathal Pazhukkumadi
(Kannu Thakku Thakku.)

Nee Ènnak Kadanthu Pøagayilae Un Nizhala Pidichukittaen (2)
Nizhalukkulla. Mmmmm. Kudiyirukkaen. Mmmmm
Odambavittu Usir Mattum Thalli Nikka
Kizhinja Nenja Èthakkøndu Naanum Thaikka
Oaøaøa Otha Vizhippaarvai Oøduruva Paarthu Thaappaa Therichiduchu
Thaappaa Therichiduchu.
(Kannu Thakku Thakku.)"
Allala Kanda,Sangamam,A.R. Rahman,Tamil (English Script),"Aalalakhanda... aaaaaa
Salchal salchal salchal salchal salchal
Salchal salchal salchal salchal

Aalalakhanda adalukud takhappa vanakamung
Vanakamung
Enna adam ativeccha vanakamung
Vanakamung
Enna adam ativeccha vanakamung

Aalalakhanda adalukud takhappa vanakamung
Vanakamung
Enna adam ativeccha vanakamung
Vanakamung
Salchal salchal salchal

En kaluku chalankitt (salchal salchal)
Un kaladicku mudhal vanakum (salchal salchal)
En kaal nadamaadum ayya (salchal salchal)
Namm cuttalaik wellum varikum (salchal salchal)

En kaluku chalankitt (salchal salchal)
Un kaladicku mudhal vanakum (salchal salchal)
En kaal nadamaadum ayya (salchal salchal)
Namm cuttalaik wellum varikum (salchal salchal)

Nee undu undu endra podhum
Nee illai illai enxpodhum
Nee undu undu endra podhum
Ada illai illai enxpodhum
Sabai adieya batmayya
Atu nikadu orupodhum

Vanakum vanakamung
Aahaa vanakum vanakamung
Vanakamung vanakamung

Aalalakhanda adalukud takhappa vanakamung
Haun
Enna adam atti veccha vanakamung
Hahaha aduttatu

En kaluku chalankitt
Un kaladicku mudhal vanakum
En kaal nadamaadum ayya
Umm cuttalaik wellum varikum

En kaluku chalankitt
Un kaladicku mudhal vanakum (aalalakhanda)
En kaal nadamaadum ayya
Umm cuttalaik wellum varikum
Aaaa aaaa..."
